Postcode,Borough,Neighbourhood
M1B,Scarborough,"Malvern,Rouge"
M1C,Scarborough,"Rouge Hill,Highland Creek,Port Union"
M1E,Scarborough,"Morningside,Guildwood,West Hill"
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1K,Scarborough,"Ionview,Kennedy Park,East Birchmount Park"
M1L,Scarborough,"Golden Mile,Clairlea,Oakridge"
M1M,Scarborough,"Cliffside,Scarborough Village West,Cliffcrest"
M1N,Scarborough,"Cliffside West,Birch Cliff"
M1P,Scarborough,"Scarborough Town Centre,Wexford Heights,Dorset Park"
M1R,Scarborough,"Wexford,Maryvale"
M1S,Scarborough,Agincourt
M1T,Scarborough,"Sullivan,Clarks Corners,Tam O'Shanter"
M1V,Scarborough,"Agincourt North,Steeles East,L'Amoreaux East,Milliken"
M1W,Scarborough,L'Amoreaux West
M1X,Scarborough,Upper Rouge
M2H,North York,Hillcrest Village
M2J,North York,"Fairview,Oriole,Henry Farm"
M2K,North York,Bayview Village
M2L,North York,"Silver Hills,York Mills"
M2M,North York,"Willowdale,Newtonbrook"
M2N,North York,Willowdale South
M2P,North York,York Mills West
M2R,North York,Willowdale West
M3A,North York,Parkwoods
M3B,North York,Don Mills North
M3C,North York,"Don Mills South,Flemingdon Park"
M3H,North York,"Downsview North,Wilson Heights,Bathurst Manor"
M3J,North York,"Northwood Park,York University"
M3K,North York,"CFB Toronto,Downsview East"
M3L,North York,Downsview West
M3M,North York,Downsview Central
M3N,North York,Downsview Northwest
M4A,North York,Victoria Village
M4B,East York,"Woodbine Gardens,Parkview Hill"
M4C,East York,Woodbine Heights
M4E,East Toronto,The Beaches
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4K,East Toronto,"Riverdale,The Danforth West"
M4L,East Toronto,"The Beaches West,India Bazaar"
M4M,East Toronto,Studio District
M4N,Central Toronto,Lawrence Park
M4P,Central Toronto,Davisville North
M4R,Central Toronto,North Toronto West
M4S,Central Toronto,Davisville
M4T,Central Toronto,"Summerhill East,Moore Park"
M4V,Central Toronto,"Summerhill West,Forest Hill SE,Deer Park,South Hill,Rathnelly"
M4W,Downtown Toronto,Rosedale
M4X,Downtown Toronto,"St. James Town,Cabbagetown"
M4Y,Downtown Toronto,Church and Wellesley
M5A,Downtown Toronto,"Harbourfront,Regent Park"
M5B,Downtown Toronto,"Ryerson,Garden District"
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Street
M5H,Downtown Toronto,"Adelaide,Richmond,King"
M5J,Downtown Toronto,"Harbourfront East,Toronto Islands,Union Station"
M5K,Downtown Toronto,"Design Exchange,Toronto Dominion Centre"
M5L,Downtown Toronto,"Commerce Court,Victoria Hotel"
M5M,North York,"Bedford Park,Lawrence Manor East"
M5N,Central Toronto,Roselawn
M5P,Central Toronto,"Forest Hill West,Forest Hill North"
M5R,Central Toronto,"Yorkville,The Annex,North Midtown"
M5S,Downtown Toronto,"University of Toronto,Harbord"
M5T,Downtown Toronto,"Kensington Market,Grange Park,Chinatown"
M5V,Downtown Toronto,"South Niagara,Bathurst Quay,King and Spadina,Railway Lands,CN Tower,Harbourfront West,Island airport"
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M5X,Downtown Toronto,"Underground city,First Canadian Place"
M6A,North York,"Lawrence Manor,Lawrence Heights"
M6B,North York,Glencairn
M6C,York,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks
M6G,Downtown Toronto,Christie
M6H,West Toronto,"Dovercourt Village,Dufferin"
M6J,West Toronto,"Little Portugal,Trinity"
M6K,West Toronto,"Exhibition Place,Parkdale Village,Brockton"
M6L,North York,"Upwood Park,North Park,Downsview"
M6M,York,"Silverthorn,Mount Dennis,Keelesdale,Del Ray"
M6N,York,"The Junction North,Runnymede"
M6P,West Toronto,"High Park,The Junction South"
M6R,West Toronto,"Parkdale,Roncesvalles"
M6S,West Toronto,"Swansea,Runnymede"
M7A,Queen's Park,Queen's Park
M7R,Mississauga,Canada Post Gateway Processing Centre
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
M8V,Etobicoke,"Mimico South,New Toronto,Humber Bay Shores"
M8W,Etobicoke,"Alderwood,Long Branch"
M8X,Etobicoke,"Montgomery Road,Old Mill North,The Kingsway"
M8Y,Etobicoke,"Sunnylea,Kingsway Park South East,Mimico NE,The Queensway East,Old Mill South,Humber Bay,King's Mill Park,Royal York South East"
M8Z,Etobicoke,"Kingsway Park South West,The Queensway West,Mimico NW,Royal York South West,South of Bloor"
M9A,Etobicoke,Islington Avenue
M9B,Etobicoke,"Princess Gardens,West Deane Park,Martin Grove,Islington,Cloverdale"
M9C,Etobicoke,"Markland Wood,Old Burnhamthorpe,Bloordale Gardens,Eringate"
M9L,North York,Humber Summit
M9M,North York,"Emery,Humberlea"
M9N,York,Weston
M9P,Etobicoke,Westmount
M9R,Etobicoke,"Richview Gardens,Kingsview Village,St. Phillips,Martin Grove Gardens"
M9V,Etobicoke,"Mount Olive,South Steeles,Thistletown,Silverstone,Beaumond Heights,Albion Gardens,Humbergate,Jamestown"
M9W,Etobicoke,Northwest
